Аккаунт,Влияние,Темные дары,Самоцветы,Замороженные сокровища,Украшения фэйри,Сокровища Тирании,Героический осколок могущества,Осколок могущества странника,Осколок могущества завоевателя
sigimigipigi#2991,2000,17015,79215,2850,9485,13970,97,60,0
naucon,1600,3760,1800,4050,785,3695,0,0,0
bonsa01,1235,50,1800,3315,150,20380,0,0,0
olyaka#8269,0,0,1800,1530,0,20000,6,30,0
pro100isanders#2591,0,0,0,0,0,0,0,0,0
elefanto#5179,0,0,2320,0,0,0,0,0,0
garganta355,0,0,0,0,0,0,0,0,0
toptoptop12,0,0,1440,6930,40625,135485,0,10,0
kardiks,0,0,1800,0,785,3415,0,0,0
olga79,0,0,0,1500,1000,500,0,0,0
nevername228,5600,940,66320,1620,0,7390,0,0,0
ndrw#6688,0,0,0,0,0,0,0,0,0
briko312,0,36440,7470,2430,13000,79825,0,0,0
kramola,0,0,720,0,0,0,0,0,0
farik48rus,0,0,0,0,0,0,0,0,0
ulfang#1795,0,0,0,0,0,0,0,0,0
kabanichee,0,0,0,0,0,0,0,0,0
blagorit,0,0,0,0,0,0,0,0,0
lili#6404,1160,1015,34345,375,50,6195,2,30,0
dosy#0898,0,0,0,0,0,0,0,0,0
box#8077,0,0,0,810,0,0,0,0,0
dikafau,700,0,360,0,0,0,0,0,0
manipuliren#8751,600,1880,720,1770,7925,40625,7,0,0
kartava,0,940,4680,0,0,7390,0,0,0
moltchun,0,12700,5040,0,375,46665,0,0,0
ksyn4ik,0,0,0,0,0,0,0,0,0
xan#8501,0,0,0,0,0,0,0,0,0
torr87#2713,0,5640,470,54330,1510,91550,0,0,0
natsu#0617,3200,7520,780,7290,7050,7655,0,0,0
sibir42#2457,0,0,90,0,0,0,0,0,0
manbeloy30,5000,250,1800,525,400,125,0,0,0
lena#9248,3600,45340,6650,30840,20410,103000,0,20,6
leon#5762,7600,13160,6280,16200,10205,70205,0,0,0
woin2,0,0,0,0,0,0,0,0,0
